group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Menno	MC	Early Church	Harrisonburg		2009			2010	29	2013	32	2015	35	2018	38										38.455572	-78.863816	21				2010/29	2013/32	2015/35	2018/38				
Menno	MC	Eastside	Harrisonburg		2010			2013	51	2018	106														38.438606	-78.841424	22				2013/51	2018/106						
Menno	MC	Family of Hope	Harrisonburg		1987			1997	17	2013	12	2018	8												38.482599	-78.869015	23				1997/17	2013/12	2018/8					
Menno	MC	Harrisonburg	Harrisonburg		1936	1936		1954	145	1975	344	2000	545	2018	564										38.433228	-78.898854	24				1954/145	1975/344	2000/545	2018/564				
Menno	MC	Iglesia Discipular Anabapt.	Harrisonburg		2011			2013	27	2018	0														38.433228	-78.898854	25				2013/27	2018/0						
Menno	MC	Immanuel	Harrisonburg		1991	1994		1997	40	2000	98	2007	60	2013	36	2018	45								38.453788	-78.857544	26				1997/40	2000/98	2007/60	2013/36	2018/45			
Menno	MC	Manantial de Vida	Harrisonburg		2009			2013	63	2018	80														38.446139	-78.857917	27				2013/63	2018/80						
Menno	MC	New Song Anabpt. Fell.	Harrisonburg		2008			2013	21	2018	22														38.475656	-78.873381	28				2013/21	2018/22						
Menno	MC	Park View	Harrisonburg		1953	1968	56	1954	137	1975	285	2000	386	2013	430	2018	374								38.478618	-78.876178	29				1954/137	1975/285	2000/386	2013/430	2018/374			
Menno	MC	Ridgeway	Harrisonburg		1946	1947		1954	14	1975	100	1997	155	2013	168	2018	130								38.446139	-78.857917	30				1954/14	1975/100	1997/155	2013/168	2018/130			
Menno	C D, MC-USA	Shalom	Harrisonburg		1986			1990	7	2000	18	2015	90												38.470701	-78.874203	31				1990/7	2000/18	2015/90					
Menno	MC	The Table	Harrisonburg		2008			2013	18	2018	0														38.448156	-78.873889	32				2013/18	2018/0						
Menno	SE Menn.	Bank	Rockingham		1849	1849		1905	80	1925	128	1950	180	1975	93	1997	104	2014	144	2019	166				38.447255	-78.983767	33				1905/80	1925/128	1950/180	1975/93	1997/104	2014/144	2019/166	
Menno	MC	Beldor	Rockingham		1936	1947		1950	12	1975	43	2000	42	2018	20										38.347213	-78.611986	34				1950/12	1975/43	2000/42	2018/20				
Menno	SE Menn.	Bethany	Rockingham		1910	1913		1925	35	1950	18	1975	30	2004	72	2019	72								38.449413	-79.111163	35				1925/35	1950/18	1975/30	2004/72	2019/72			
Menno	Mtn. Val. Menn.	Bethel, Broadway	Rockingham		1913	1918		1925	71	1954	110	1975	111	2000	60	2015	35								38.699146	-78.868332	36				1925/71	1954/110	1975/111	2000/60	2015/35			
Menno	SE Menn.	Bethesda	Rockingham		1974			2008	36	2015	41	2019	53												36.655808	-78.837368	37				2008/36	2015/41	2019/53					
Menno	MC	Brennemans	Rockingham		1826	1826		1905	21																38.5262	-78.85788	38				1905/21							
Menno	Bib. Menn. All.	Calvary	Rockingham		1990	2001	55	1993	55	1998	20	2007	122	2015	190	2019	209								38.468103	-78.866398	39				1993/55	1998/20	2007/122	2015/190	2019/209			
Menno	Riv.Old Order Menn.	Cline-Showalter	Rockingham		1953	1973		1957	200	2010	310	2015	328												38.420158	-78.986571	40				1957/200	2010/310	2015/328					
Menno	MC	Crossroads	Rockingham		1934			1935	18	1950	36	1975	57	2000	31	2018	26								38.639519	-78.812569	41				1935/18	1950/36	1975/57	2000/31	2018/26			
Menno	Conserv. Menn.	Dayton	Rockingham		1972	1974		1975	108	2000	155	2015	170												38.407175	-78.946418	42				1975/108	2000/155	2015/170					
Menno	MC	Gospel Hill	Rockingham		1900	1909		1905	24	1925	100	1950	66	1975	94	1997	137	2013	45	2018	42				38.659632	-78.906136	43				1905/24	1925/100	1950/66	1975/94	1997/137	2013/45	2018/42	
